index,         voltage_V,          temperature_C
0,           0.146400,            147.801289
1,           0.156000,            144.986889
2,           0.165600,            142.286136
3,           0.175200,            139.694007
4,           0.184800,            137.205665
5,           0.194400,            134.816449
6,           0.204000,            132.521874
7,           0.213600,            130.317623
8,           0.223200,            128.199543
9,           0.232800,            126.163642
10,           0.242400,            124.206079
11,           0.252000,            122.323168
12,           0.261600,            120.511365
13,           0.271200,            118.767269
14,           0.280800,            117.087616
15,           0.290400,            115.469274
16,           0.300000,            113.909243
17,           0.309600,            112.404643
18,           0.319200,            110.952720
19,           0.328800,            109.550833
20,           0.338400,            108.196458
21,           0.348000,            106.887178
22,           0.357600,            105.620684
23,           0.367200,            104.394770
24,           0.376800,            103.207327
25,           0.386400,            102.056343
26,           0.396000,            100.939901
27,           0.405600,            99.856171
28,           0.415200,            98.803409
29,           0.424800,            97.779957
30,           0.434400,            96.784234
31,           0.444000,            95.814740
32,           0.453600,            94.870048
33,           0.463200,            93.948802
34,           0.472800,            93.049716
35,           0.482400,            92.171572
36,           0.492000,            91.313215
37,           0.501600,            90.473551
38,           0.511200,            89.651545
39,           0.520800,            88.846221
40,           0.530400,            88.056655
41,           0.540000,            87.281977
42,           0.549600,            86.521366
43,           0.559200,            85.774049
44,           0.568800,            85.039301
45,           0.578400,            84.316438
46,           0.588000,            83.604819
47,           0.597600,            82.903845
48,           0.607200,            82.212952
49,           0.616800,            81.531615
50,           0.626400,            80.859343
51,           0.636000,            80.195677
52,           0.645600,            79.540193
53,           0.655200,            78.892492
54,           0.664800,            78.252207
55,           0.674400,            77.618996
56,           0.684000,            76.992544
57,           0.693600,            76.372559
58,           0.703200,            75.758772
59,           0.712800,            75.150935
60,           0.722400,            74.548822
61,           0.732000,            73.952224
62,           0.741600,            73.360951
63,           0.751200,            72.774830
64,           0.760800,            72.193701
65,           0.770400,            71.617423
66,           0.780000,            71.045865
67,           0.789600,            70.478911
68,           0.799200,            69.916455
69,           0.808800,            69.358404
70,           0.818400,            68.804672
71,           0.828000,            68.255184
72,           0.837600,            67.709875
73,           0.847200,            67.168684
74,           0.856800,            66.631561
75,           0.866400,            66.098458
76,           0.876000,            65.569337
77,           0.885600,            65.044161
78,           0.895200,            64.522901
79,           0.904800,            64.005529
80,           0.914400,            63.492022
81,           0.924000,            62.982360
82,           0.933600,            62.476523
83,           0.943200,            61.974496
84,           0.952800,            61.476264
85,           0.962400,            60.981812
86,           0.972000,            60.491129
87,           0.981600,            60.004200
88,           0.991200,            59.521014
89,           1.000800,            59.041556
90,           1.010400,            58.565815
91,           1.020000,            58.093775
92,           1.029600,            57.625420
93,           1.039200,            57.160734
94,           1.048800,            56.699700
95,           1.058400,            56.242296
96,           1.068000,            55.788501
97,           1.077600,            55.338291
98,           1.087200,            54.891641
99,           1.096800,            54.448523
100,           1.106400,            54.008905
101,           1.116000,            53.572756
102,           1.125600,            53.140039
103,           1.135200,            52.710717
104,           1.144800,            52.284749
105,           1.154400,            51.862093
106,           1.164000,            51.442702
107,           1.173600,            51.026528
108,           1.183200,            50.613521
109,           1.192800,            50.203626
110,           1.202400,            49.796788
111,           1.212000,            49.392948
112,           1.221600,            48.992044
113,           1.231200,            48.594012
114,           1.240800,            48.198788
115,           1.250400,            47.806302
116,           1.260000,            47.416483
117,           1.269600,            47.029260
118,           1.279200,            46.644557
119,           1.288800,            46.262297
